名称,住所
陽だまり,埼玉県さいたま市見沼区春岡2丁目27番地3
ホームヘルプサービス　ソラスト七里,埼玉県さいたま市見沼区東門前351-4
あいりす介護支援センター,埼玉県さいたま市見沼区東大宮6-158-21
のびのび介護サービス,埼玉県さいたま市見沼区春岡２丁目３９－３
チーミング福祉サービス,埼玉県さいたま市見沼区堀崎町５０６－１２
みぬまハウス,埼玉県さいたま市見沼区大和田町2-1288-4
イリーゼ大宮大和田訪問介護センター,埼玉県さいたま市見沼区大字南中丸1039-1
訪問介護ハーベストさいたま,埼玉県さいたま市見沼区大字中川57番地1
訪問ヘルパーステーション　トリトン,埼玉県さいたま市見沼区堀崎町1623
アースサポート東大宮,埼玉県さいたま市見沼区東大宮5丁目47番地17
敬寿園七里ホームヘルパーステーション,埼玉県さいたま市見沼区大谷2022-1
たから訪問介護所,埼玉県さいたま市見沼区大字山23番地4
ケアステーション　さーちらいと,埼玉県さいたま市見沼区染谷３丁目２７４番１
ホームケア　ひばり,埼玉県さいたま市見沼区蓮沼1450見沼ひばり館１F
やさしい手東大宮巡回訪問介護事業所,埼玉県さいたま市見沼区東大宮２丁目６番２
訪問介護サービス　アリエス,埼玉県さいたま市見沼区堀崎町1592
訪問介護ステーションありがたい大宮,埼玉県さいたま市見沼区東新井３１１－３
あおぞらヘルパーステーション大宮南中野,埼玉県さいたま市見沼区南中野４２９－１
ハピネスケア株式会社　大宮営業所,埼玉県さいたま市見沼区南中野５７
東大宮訪問看護ステーション,埼玉県さいたま市見沼区東大宮５－１８－１０
大宮共立病院訪問看護ステーション,埼玉県さいたま市見沼区片柳１５５０
医療法人社団医凰会　訪問看護ステーションまごころ,埼玉県さいたま市見沼区風渡野２６１－１
ハピネスケア株式会社　みぬま　訪問看護ステーション,埼玉県さいたま市見沼区中川９０７
あしすと訪問看護リハビリステーション,埼玉県さいたま市見沼区深作1-19-1
たんぽぽ訪問看護ステーション,埼玉県さいたま市見沼区大和田町2-401-6
つばさ訪問看護ステーション,埼玉県さいたま市見沼区東門前43-1
メディナス訪問看護ステーション東大宮,埼玉県さいたま市見沼区東大宮2-49-7WOODY VILLAGE 201
訪問看護　かえりえ　東大宮,埼玉県さいたま市見沼区東大宮２－６－９
ビッグスマイル訪問看護ステーション,埼玉県さいたま市見沼区深作2-18-17
あい訪問看護リハビリステーション東大宮,埼玉県さいたま市見沼区東大宮７－１７－３７グランドジュネス102
メディナス訪問看護ステーション東大宮,埼玉県さいたま市見沼区東大宮２－４９－７ＷＯＯＤＹ　ＶＩＬＬＡＧＥ２０１
あおぞら訪問看護ステーション大宮南中野,埼玉県さいたま市見沼区南中野４２９－１
ケアーズ訪問看護リハビリステーション大和田,埼玉県さいたま市見沼区大和田町２－１６５６キャッスル島村１０１
ブライトライフ訪問看護　おおみや,埼玉県さいたま市見沼区南中野681-2-102
介護老人保健施設　あすか,埼玉県さいたま市見沼区染谷３－４３０－１
ハートケア東大宮,埼玉県さいたま市見沼区風渡野４５
介護老人保健施設　アーバンみらいハートランド東大宮,埼玉県さいたま市見沼区春野２－９－２２
諏訪の苑　デイサービスセンター,埼玉県さいたま市見沼区南中野２９番地
敬寿園　デイサービスセンター,埼玉県さいたま市見沼区片柳1298番地
デイサービスセンター見沼緑水苑,埼玉県さいたま市見沼区大和田町２丁目３３６番地
通所介護事業所　さいたまやすらぎの里,埼玉県さいたま市見沼区卸町２－２１－１
大宮東ケアセンターそよ風,埼玉県さいたま市見沼区南中野１１３５－７
デイサービスセンターりはせんそよ風,埼玉県さいたま市見沼区蓮沼１５００－１
デイサービス　ソラスト七里,埼玉県さいたま市見沼区東宮下474
ツクイさいたま見沼,埼玉県さいたま市見沼区深作3丁目17番5号
リハ倶楽部風凛,埼玉県さいたま市見沼区東大宮6-28-9
大宮見沼ケアセンターそよ風,埼玉県さいたま市見沼区南中丸318-1
春野ケアセンターそよ風,埼玉県さいたま市見沼区深作2-10-10
リハビリ＆デイサービス　ダイアリー,埼玉県さいたま市見沼区南中野422-7
見沼北ケアセンターそよ風,埼玉県さいたま市見沼区東大宮四丁目４０番地２
イリーゼ大宮南中丸デイサービスセンター,埼玉県さいたま市見沼区大字南中丸29-1
デイサービス　風　さやか,埼玉県さいたま市見沼区堀崎町1623
かがやきデイサービス東大宮,埼玉県さいたま市見沼区島町301
敬寿園七里ホームデイサービスセンター,埼玉県さいたま市見沼区大谷2022-1
デイサービスセンターエクラシアさいたま見沼,埼玉県さいたま市見沼区南中野130-1
笑美の湯,埼玉県さいたま市見沼区蓮沼1532番地1
コラソン東大宮,埼玉県さいたま市見沼区東大宮1-87-4
デイサービスセンター　コンフォータブル・プラス南中丸,埼玉県さいたま市見沼区南中丸６７５
デイサービス　さわやか,埼玉県さいたま市見沼区笹丸１６７
ビッグスマイルリハビリセンター,埼玉県さいたま市見沼区深作2-18-17
ブルーミングケア大宮御蔵,埼玉県さいたま市見沼区御蔵118番1
コンパスウォーク大和田,埼玉県さいたま市見沼区大和田町1-893-1
エリジオン大和田,埼玉県さいたま市見沼区大和田町２－１３９３－１
高齢者ケアセンター　のぞみ,埼玉県さいたま市見沼区大字片柳１３８７－１
介護老人保健施設　七里,埼玉県さいたま市見沼区東宮下１－１５２－１
ハートの森　通所リハビリセンター,埼玉県さいたま市見沼区東大宮２－４１－３
諏訪の苑,埼玉県さいたま市見沼区南中野２９
高齢者総合福祉施設　敬寿園,埼玉県さいたま市見沼区片柳１２９８
短期入所生活介護見沼緑水苑,埼玉県さいたま市見沼区大和田町２丁目３３６番地
介護老人福祉施設　さいたまやすらぎの里,埼玉県さいたま市見沼区卸町２－２１－１
特別養護老人ホーム　あおぞら,埼玉県さいたま市見沼区御蔵１０６４－１
短期入所生活介護事業所　さいたまかがやきの里,埼玉県さいたま市見沼区染谷3-190-1
ショートステイ　ソラスト七里,埼玉県さいたま市見沼区東宮下474
短期入所生活介護　さいたまやすらぎの里　新館,埼玉県さいたま市見沼区卸町2-24
見沼さくらの杜,埼玉県さいたま市見沼区東宮下字諏訪883番地1
敬寿園七里ホーム短期入所生活介護事業所,埼玉県さいたま市見沼区大谷2022-1
ショートステイ　ロイヤル,埼玉県さいたま市見沼区大字大谷390-1
見沼北ケアセンターそよ風,埼玉県さいたま市見沼区東大宮４－４０－２
大宮共立病院,埼玉県さいたま市見沼区片柳１５５０
老人保健施設大宮ナーシング・ピア,埼玉県さいたま市見沼区片柳１５５０
大宮共立病院介護医療院,埼玉県さいたま市見沼区片柳1550
そんぽの家　大宮見沼,埼玉県さいたま市見沼区南中丸３１７－２
ケアハウス美星苑,埼玉県さいたま市見沼区南中野字堀込８４９－１
聖蹟プライムケアコート東大宮,埼玉県さいたま市見沼区春野2-10-25
介護付き有料老人ホーム　みんなの家・南中野,埼玉県さいたま市見沼区南中野1051-1
ロイヤルレジデンス大宮,埼玉県さいたま市見沼区蓮沼75-2
フォーライフ大宮公園,埼玉県さいたま市見沼区南中丸254-2
フォーライフ七里,埼玉県さいたま市見沼区春岡2-47-6
有料老人ホーム　ソラスト大宮見沼,埼玉県さいたま市見沼区南中丸630
介護付有料老人ホーム　みんなの家・南中丸,埼玉県さいたま市見沼区南中丸206-6
ニチイケアセンター大谷,埼玉県さいたま市見沼区大谷177-7
フォーライフ大宮公園第２,埼玉県さいたま市見沼区南中丸250-1
ニチイケアセンター堀崎,埼玉県さいたま市見沼区堀崎町1228-1
有料老人ホーム　ソラスト大宮東,埼玉県さいたま市見沼区大谷６番
ベストライフ東大宮,埼玉県さいたま市見沼区東大宮６丁目９－２
介護付有料老人ホーム　みんなの家・七里新堤,埼玉県さいたま市見沼区大字新堤116番1
介護付有料老人ホーム　みんなの家・大和田,埼玉県さいたま市見沼区大和田町1丁目525番地1
医療法人社団全仁会　やわら樹の里,埼玉県さいたま市見沼区大和田町一丁目345番地
ロイヤルレジデンス見沼,埼玉県さいたま市見沼区大谷388-1
大宮東ケアパークそよ風,埼玉県さいたま市見沼区南中野1117-3
サンスーシ大和田,埼玉県さいたま市見沼区大和田町1-1002
ＳＯＭＰＯケア　ラヴィーレ大宮,埼玉県さいたま市見沼区中川1090-1
ＳＯＭＰＯケア　ラヴィーレ大宮弐番館,埼玉県さいたま市見沼区中川1062-1
ダスキンヘルスレント大宮ステーション,埼玉県さいたま市見沼区大和田町１－７９７－１
ハピネスケア株式会社　大宮営業所,埼玉県さいたま市見沼区中川244-4
株式会社　高橋医科器械店　さいたま営業所,埼玉県さいたま市見沼区深作１丁目２４－３３
株式会社　住環境デザイン,埼玉県さいたま市見沼区東大宮6-158-21
株式会社　栗原医療器械店　さいたま支店,埼玉県さいたま市見沼区東大宮6-3-3
